time,temp,dew,date,RH
569973,18.4,12.3,1996-01-09T02:30:00Z,67.61
569976,16.6,12.6,1996-01-09T05:30:00Z,77.25
569979,17.2,12.9,1996-01-09T08:30:00Z,75.84
569982,24,15.8,1996-01-09T11:30:00Z,60.16
569985,27.4,17.2,1996-01-09T14:30:00Z,53.75
569988,26.8,14.9,1996-01-09T17:30:00Z,48.08
569991,22,16,1996-01-09T20:30:00Z,68.77
569994,20,14.1,1996-01-09T23:30:00Z,68.82
569997,17,13.5,1996-01-10T02:30:00Z,79.87
570000,16.6,11.9,1996-01-10T05:30:00Z,73.77
570003,16.4,10.8,1996-01-10T08:30:00Z,69.47
570006,25.2,11.5,1996-01-10T11:30:00Z,42.34
570009,26.8,11,1996-01-10T14:30:00Z,37.26
570012,25.8,11.9,1996-01-10T17:30:00Z,41.95
570015,21.4,12.6,1996-01-10T20:30:00Z,57.26
570018,18.6,10.4,1996-01-10T23:30:00Z,58.88
570021,16.4,9.1,1996-01-11T02:30:00Z,62
570024,14.8,9.4,1996-01-11T05:30:00Z,70.09
570027,15,10.5,1996-01-11T08:30:00Z,74.48
570030,23.6,16.8,1996-01-11T11:30:00Z,65.68
570033,27.6,13.9,1996-01-11T14:30:00Z,43
570036,26.4,11.8,1996-01-11T17:30:00Z,40.22
570039,20.2,12.8,1996-01-11T20:30:00Z,62.46
570042,17,11.5,1996-01-11T23:30:00Z,70.05
570045,16,11.2,1996-01-12T02:30:00Z,73.18
570048,13.4,9.5,1996-01-12T05:30:00Z,77.26
570051,16.6,8.4,1996-01-12T08:30:00Z,58.39
570054,24.6,12.9,1996-01-12T11:30:00Z,48.11
570057,28,14.8,1996-01-12T14:30:00Z,44.53
570060,27.4,15.3,1996-01-12T17:30:00Z,47.62
570063,21.8,15.9,1996-01-12T20:30:00Z,69.17
570066,19,12.2,1996-01-12T23:30:00Z,64.69
570069,17,11.9,1996-01-13T02:30:00Z,71.93
570072,15.8,10.5,1996-01-13T05:30:00Z,70.76
570075,17.4,9.9,1996-01-13T08:30:00Z,61.4
570078,25,11.7,1996-01-13T11:30:00Z,43.41
570081,29.6,12.2,1996-01-13T14:30:00Z,34.26
570084,27.4,11.8,1996-01-13T17:30:00Z,37.92
570087,22.6,12.9,1996-01-13T20:30:00Z,54.27
570090,18,13,1996-01-13T23:30:00Z,72.58
570096,16,13.1,1996-01-14T05:30:00Z,82.93
570102,23.4,15.4,1996-01-14T11:30:00Z,60.79
570105,27.2,15.4,1996-01-14T14:30:00Z,48.49
570108,26.6,10.7,1996-01-14T17:30:00Z,36.95
570111,22.8,12.3,1996-01-14T20:30:00Z,51.55
570114,20.6,18,1996-01-14T23:30:00Z,85.06
570117,19.6,15.9,1996-01-15T02:30:00Z,79.21
570120,19.4,17.1,1996-01-15T05:30:00Z,86.56
570123,19.4,17.8,1996-01-15T08:30:00Z,90.47
570126,21.8,16.2,1996-01-15T11:30:00Z,70.51
570129,23.6,15.3,1996-01-15T14:30:00Z,59.68
570132,23.6,14.1,1996-01-15T17:30:00Z,55.24
570135,21.4,10.4,1996-01-15T20:30:00Z,49.51
570138,17.4,10.7,1996-01-15T23:30:00Z,64.77
570141,13,9.5,1996-01-16T02:30:00Z,79.31
570144,11.4,8.8,1996-01-16T05:30:00Z,84.05
570147,12,8.8,1996-01-16T08:30:00Z,80.78
570150,18.8,10.7,1996-01-16T11:30:00Z,59.32
570153,21.6,10.7,1996-01-16T14:30:00Z,49.89
570156,22,11.2,1996-01-16T17:30:00Z,50.33
570159,17.6,11,1996-01-16T20:30:00Z,65.25
570162,15.2,8.1,1996-01-16T23:30:00Z,62.57
570165,12.2,8.2,1996-01-17T02:30:00Z,76.55
570168,8.8,7.1,1996-01-17T05:30:00Z,89.08
570171,11,7.7,1996-01-17T08:30:00Z,80.1
570174,20.4,9.1,1996-01-17T11:30:00Z,48.25
570177,22.8,8,1996-01-17T14:30:00Z,38.68
570180,22,8.4,1996-01-17T17:30:00Z,41.72
570183,17,9.2,1996-01-17T20:30:00Z,60.09
570186,14.4,7.1,1996-01-17T23:30:00Z,61.53
570189,11,6.8,1996-01-18T02:30:00Z,75.32
570192,9.6,6.2,1996-01-18T05:30:00Z,79.35
570195,11,4.9,1996-01-18T08:30:00Z,66.04
570198,19.2,5.9,1996-01-18T11:30:00Z,41.78
570204,23.2,6.5,1996-01-18T17:30:00Z,34.07
570207,18.4,8.8,1996-01-18T20:30:00Z,53.55
570210,15.4,8.8,1996-01-18T23:30:00Z,64.77
570213,12.4,8.4,1996-01-19T02:30:00Z,76.58
570216,10.4,7.5,1996-01-19T05:30:00Z,82.23
570219,14.4,5.6,1996-01-19T08:30:00Z,55.49
570222,21.6,9.8,1996-01-19T11:30:00Z,46.98
570225,25.4,6.1,1996-01-19T14:30:00Z,29.05
570228,24.8,8.5,1996-01-19T17:30:00Z,35.47
570231,19.6,9.5,1996-01-19T20:30:00Z,52.09
570234,16.2,8.8,1996-01-19T23:30:00Z,61.54
570237,14,8.4,1996-01-20T02:30:00Z,68.99
570240,9.4,6.8,1996-01-20T05:30:00Z,83.81
570243,12.8,7.9,1996-01-20T08:30:00Z,72.11
570246,22.6,6.7,1996-01-20T11:30:00Z,35.82
570249,26,7.1,1996-01-20T14:30:00Z,30.03
570252,25.4,8.9,1996-01-20T17:30:00Z,35.17
570255,19,10.1,1996-01-20T20:30:00Z,56.29
570258,14.8,8.9,1996-01-20T23:30:00Z,67.77
570261,14,10.2,1996-01-21T02:30:00Z,77.87
570264,13.2,8.9,1996-01-21T05:30:00Z,75.18
570267,16,9.5,1996-01-21T08:30:00Z,65.34
570270,24.6,9.7,1996-01-21T11:30:00Z,38.92
570273,27.6,13,1996-01-21T14:30:00Z,40.55
570276,27.4,13.6,1996-01-21T17:30:00Z,42.67
570279,21.8,13.5,1996-01-21T20:30:00Z,59.26
570285,15.6,13.5,1996-01-22T02:30:00Z,87.32
570288,14.8,12.6,1996-01-22T05:30:00Z,86.68
570291,15.4,13.3,1996-01-22T08:30:00Z,87.3
570297,28.6,13.5,1996-01-22T14:30:00Z,39.53
570300,27.2,14.6,1996-01-22T17:30:00Z,46.06
570303,22.4,15,1996-01-22T20:30:00Z,62.95
570306,20.4,14.6,1996-01-22T23:30:00Z,69.35
570309,18.2,15.1,1996-01-23T02:30:00Z,82.13
570312,16.8,14.7,1996-01-23T05:30:00Z,87.43
570315,17.8,13.6,1996-01-23T08:30:00Z,76.43
570318,26.6,9.7,1996-01-23T11:30:00Z,34.57
570321,29.6,10.3,1996-01-23T14:30:00Z,30.21
570324,29,10.3,1996-01-23T17:30:00Z,31.28
570327,23.2,12.8,1996-01-23T20:30:00Z,51.99
570330,20.6,12.5,1996-01-23T23:30:00Z,59.75
570336,17.2,7.3,1996-01-24T05:30:00Z,52.16
570339,17.8,4.4,1996-01-24T08:30:00Z,41.09
570342,24.8,5.1,1996-01-24T11:30:00Z,28.09
570345,28,7.6,1996-01-24T14:30:00Z,27.63
570348,27.6,8.1,1996-01-24T17:30:00Z,29.26
570351,22.4,10.9,1996-01-24T20:30:00Z,48.15
570354,19.6,9.5,1996-01-24T23:30:00Z,52.09
570357,17,9.8,1996-01-25T02:30:00Z,62.56
570360,16.2,9.3,1996-01-25T05:30:00Z,63.65
570363,17.2,7.3,1996-01-25T08:30:00Z,52.16
570366,26.8,7.3,1996-01-25T11:30:00Z,29.04
570372,28.2,8.5,1996-01-25T17:30:00Z,29.03
570375,23.2,12.4,1996-01-25T20:30:00Z,50.65
570378,20.4,8.6,1996-01-25T23:30:00Z,46.65
570381,19.2,7,1996-01-26T02:30:00Z,45.07
570384,16,8.6,1996-01-26T05:30:00Z,61.49
570387,17.4,7,1996-01-26T08:30:00Z,50.45
570390,27,7.1,1996-01-26T11:30:00Z,28.31
570393,29,9.3,1996-01-26T14:30:00Z,29.25
570396,28.2,9.1,1996-01-26T17:30:00Z,30.23
570399,20.4,11.8,1996-01-26T20:30:00Z,57.77
570402,20.2,9.8,1996-01-26T23:30:00Z,51.2
570405,16.6,10.2,1996-01-27T02:30:00Z,65.91
570408,13.4,8.6,1996-01-27T05:30:00Z,72.71
570411,16,8.6,1996-01-27T08:30:00Z,61.49
570414,25.2,9.1,1996-01-27T11:30:00Z,36.07
570417,28,8.2,1996-01-27T14:30:00Z,28.78
570420,27.4,8.9,1996-01-27T17:30:00Z,31.25
570423,22.4,8.5,1996-01-27T20:30:00Z,40.99
570426,19.4,6.7,1996-01-27T23:30:00Z,43.6
570429,17,7.5,1996-01-28T02:30:00Z,53.55
570432,15,7.8,1996-01-28T05:30:00Z,62.1
570435,18.2,9.5,1996-01-28T08:30:00Z,56.84
570438,24.4,10.4,1996-01-28T11:30:00Z,41.28
570441,27.8,11,1996-01-28T14:30:00Z,35.14
570444,27.6,9.2,1996-01-28T17:30:00Z,31.52
570447,21.8,12.7,1996-01-28T20:30:00Z,56.24
570450,19.6,12.1,1996-01-28T23:30:00Z,61.91
570456,15,8.3,1996-01-29T05:30:00Z,64.24
570459,16.6,7,1996-01-29T08:30:00Z,53.08
570462,24,4.9,1996-01-29T11:30:00Z,29.06
570468,27,8.2,1996-01-29T17:30:00Z,30.51
570471,20,10,1996-01-29T20:30:00Z,52.54
570474,17.6,9.7,1996-01-29T23:30:00Z,59.83
570477,15.8,5.9,1996-01-30T02:30:00Z,51.78
570480,13.4,3.1,1996-01-30T05:30:00Z,49.71
570483,15,-0.8,1996-01-30T08:30:00Z,33.87
570486,23.6,-3.5,1996-01-30T11:30:00Z,16.24
570492,26.8,1.4,1996-01-30T17:30:00Z,19.21
570495,20.4,4.9,1996-01-30T20:30:00Z,36.19
570498,13.6,6.1,1996-01-30T23:30:00Z,60.5
570501,11,4.3,1996-01-31T02:30:00Z,63.33
570504,12.6,3.7,1996-01-31T05:30:00Z,54.64
570507,14.4,0.3,1996-01-31T08:30:00Z,38.13
570510,24.4,3,1996-01-31T11:30:00Z,24.83
570513,28.6,6.3,1996-01-31T14:30:00Z,24.41
570516,29,5.2,1996-01-31T17:30:00Z,22.1
570519,29,5.2,1996-01-31T20:30:00Z,22.1
570522,18.2,6.6,1996-01-31T23:30:00Z,46.68
570525,13.4,6.3,1996-02-01T02:30:00Z,62.15
570528,13.4,5.3,1996-02-01T05:30:00Z,57.99
570529,12,6,1996-02-01T06:30:00Z,66.72
570530,12,5,1996-02-01T07:30:00Z,62.25
570531,16.8,1.5,1996-02-01T08:30:00Z,35.65
570532,20,0,1996-02-01T09:30:00Z,26.18
570533,22,4,1996-02-01T10:30:00Z,30.8
570534,26.2,3.8,1996-02-01T11:30:00Z,23.6
570535,28,5,1996-02-01T12:30:00Z,23.1
570536,28,-1,1996-02-01T13:30:00Z,15.05
570537,29.2,3.6,1996-02-01T14:30:00Z,19.53
570538,29.1,1.8,1996-02-01T15:30:00Z,17.29
570539,29,0,1996-02-01T16:30:00Z,15.28
570540,28.2,4.3,1996-02-01T17:30:00Z,21.74
570542,23,9,1996-02-01T19:30:00Z,40.89
570543,19.6,9,1996-02-01T20:30:00Z,50.36
570544,17,8,1996-02-01T21:30:00Z,55.4
570545,16,9,1996-02-01T22:30:00Z,63.17
570546,15.8,5.9,1996-02-01T23:30:00Z,51.78
570547,16,5,1996-02-02T00:30:00Z,48.03
570548,14,6,1996-02-02T01:30:00Z,58.55
570549,11.8,5.3,1996-02-02T02:30:00Z,64.41
570550,12,5,1996-02-02T03:30:00Z,62.25
570552,13.6,5.1,1996-02-02T05:30:00Z,56.45
570553,13,4,1996-02-02T06:30:00Z,54.36
570555,18,1.6,1996-02-02T08:30:00Z,33.29
570556,20,0,1996-02-02T09:30:00Z,26.18
570557,23,1,1996-02-02T10:30:00Z,23.42
570558,25.8,4.3,1996-02-02T11:30:00Z,25.03
570559,27,3,1996-02-02T12:30:00Z,21.28
570560,29,4,1996-02-02T13:30:00Z,20.32
570561,30.2,2.8,1996-02-02T14:30:00Z,17.42
570562,30,2,1996-02-02T15:30:00Z,16.65
570564,29.4,1.8,1996-02-02T17:30:00Z,16.99
570565,28,1,1996-02-02T18:30:00Z,17.4
570566,24,4,1996-02-02T19:30:00Z,27.29
570567,22,7.4,1996-02-02T20:30:00Z,38.98
570568,20,8,1996-02-02T21:30:00Z,45.91
570569,19,8,1996-02-02T22:30:00Z,48.86
570570,19.4,5.1,1996-02-02T23:30:00Z,39.04
570571,17,8,1996-02-03T00:30:00Z,55.4
570572,16,7,1996-02-03T01:30:00Z,55.14
570573,17.2,3.4,1996-02-03T02:30:00Z,39.78
570574,17,3,1996-02-03T03:30:00Z,39.17
570576,14.4,3.4,1996-02-03T05:30:00Z,47.58
570577,14,4,1996-02-03T06:30:00Z,50.94
570578,14,3,1996-02-03T07:30:00Z,47.47
570579,15.8,3.7,1996-02-03T08:30:00Z,44.42
570580,19,3,1996-02-03T09:30:00Z,34.54
570581,22,3,1996-02-03T10:30:00Z,28.71
570582,25.4,3.6,1996-02-03T11:30:00Z,24.4
570583,26,5,1996-02-03T12:30:00Z,25.98
570584,28,5,1996-02-03T13:30:00Z,23.1
570585,29,4.6,1996-02-03T14:30:00Z,21.19
570586,29,0,1996-02-03T15:30:00Z,15.28
570587,29,0,1996-02-03T16:30:00Z,15.28
570588,29,4.6,1996-02-03T17:30:00Z,21.19
570589,27,4,1996-02-03T18:30:00Z,22.84
570591,20.4,9.1,1996-02-03T20:30:00Z,48.25
570592,18,8,1996-02-03T21:30:00Z,52.01
570594,17.4,6.5,1996-02-03T23:30:00Z,48.75
570595,16,6,1996-02-04T00:30:00Z,51.48
570597,16.4,5.1,1996-02-04T02:30:00Z,47.15
570600,15.2,3.4,1996-02-04T05:30:00Z,45.19
570601,14,2,1996-02-04T06:30:00Z,44.21
570602,14,2,1996-02-04T07:30:00Z,44.21
570603,16.6,1.9,1996-02-04T08:30:00Z,37.15
570604,19,2,1996-02-04T09:30:00Z,32.17
570605,22,1,1996-02-04T10:30:00Z,24.89
570606,26.4,1.3,1996-02-04T11:30:00Z,19.53
570607,27,1,1996-02-04T12:30:00Z,18.45
570608,28,1,1996-02-04T13:30:00Z,17.4
570609,30,-3,1996-02-04T14:30:00Z,11.57
570611,31,0,1996-02-04T16:30:00Z,13.62
570612,30.4,4.7,1996-02-04T17:30:00Z,19.69
570614,25,8,1996-02-04T19:30:00Z,33.88
570615,22.2,8.7,1996-02-04T20:30:00Z,42.06
570616,19,9,1996-02-04T21:30:00Z,52.28
570617,17,9,1996-02-04T22:30:00Z,59.28
570618,18.2,8.1,1996-02-04T23:30:00Z,51.71
570619,16,8,1996-02-05T00:30:00Z,59.04
570620,15,7,1996-02-05T01:30:00Z,58.79
570621,17,6.5,1996-02-05T02:30:00Z,50
570624,14.8,5.6,1996-02-05T05:30:00Z,54.08
570625,12,5,1996-02-05T06:30:00Z,62.25
570627,19,2.6,1996-02-05T08:30:00Z,33.57
570628,21,1,1996-02-05T09:30:00Z,26.46
570629,24,1,1996-02-05T10:30:00Z,22.05
570630,27.4,6,1996-02-05T11:30:00Z,25.64
570632,30,3,1996-02-05T13:30:00Z,17.88
570633,31.4,6.7,1996-02-05T14:30:00Z,21.36
570636,31.6,4.4,1996-02-05T17:30:00Z,18.01
570637,30,3,1996-02-05T18:30:00Z,17.88
570638,26,8,1996-02-05T19:30:00Z,31.93
570639,22,10.3,1996-02-05T20:30:00Z,47.41
570641,20,11,1996-02-05T22:30:00Z,56.16
570642,18.6,8.1,1996-02-05T23:30:00Z,50.43
570643,16,9,1996-02-06T00:30:00Z,63.17
570644,15,8,1996-02-06T01:30:00Z,62.95
570645,15.2,7.6,1996-02-06T02:30:00Z,60.47
570646,14,6,1996-02-06T03:30:00Z,58.55
570648,17.1,3.7,1996-02-06T05:30:00Z,40.89
570649,16,5,1996-02-06T06:30:00Z,48.03
570651,19.2,3.9,1996-02-06T08:30:00Z,36.35
570654,27.6,6.4,1996-02-06T11:30:00Z,26.05
570655,29,5,1996-02-06T12:30:00Z,21.79
570656,29,4,1996-02-06T13:30:00Z,20.32
570657,32,10.5,1996-02-06T14:30:00Z,26.69
570658,32,5,1996-02-06T15:30:00Z,18.35
570659,32,2,1996-02-06T16:30:00Z,14.86
570660,31.4,5.3,1996-02-06T17:30:00Z,19.39
570661,30,3,1996-02-06T18:30:00Z,17.88
570663,23,9.8,1996-02-06T20:30:00Z,43.15
570664,21,9,1996-02-06T21:30:00Z,46.19
570666,20,9.5,1996-02-06T23:30:00Z,50.81
570668,19,8,1996-02-07T01:30:00Z,48.86
570669,20.6,7.4,1996-02-07T02:30:00Z,42.47
570672,15,8.3,1996-02-07T05:30:00Z,64.24
570673,15,7,1996-02-07T06:30:00Z,58.79
570674,15,6,1996-02-07T07:30:00Z,54.89
570675,16.8,2.8,1996-02-07T08:30:00Z,39.11
570677,22,3,1996-02-07T10:30:00Z,28.71
570678,26.2,8.5,1996-02-07T11:30:00Z,32.64
570681,32.6,4.4,1996-02-07T14:30:00Z,17.01
570682,32,3,1996-02-07T15:30:00Z,15.95
570683,32,4,1996-02-07T16:30:00Z,17.11
570684,32.8,6.8,1996-02-07T17:30:00Z,19.87
570687,26,7.1,1996-02-07T20:30:00Z,30.03
570688,23,8,1996-02-07T21:30:00Z,38.21
570689,21.5,8.5,1996-02-07T22:30:00Z,43.31
570690,20,9,1996-02-07T23:30:00Z,49.13
570691,18,9,1996-02-08T00:30:00Z,55.66
570693,17,9.4,1996-02-08T02:30:00Z,60.9
570694,17,8,1996-02-08T03:30:00Z,55.4
570695,17,6,1996-02-08T04:30:00Z,48.31
570696,15,6.8,1996-02-08T05:30:00Z,57.99
570697,15,6,1996-02-08T06:30:00Z,54.89
570698,15,7,1996-02-08T07:30:00Z,58.79
570699,17,10.7,1996-02-08T08:30:00Z,66.43
570700,18,11,1996-02-08T09:30:00Z,63.62
570701,21,12,1996-02-08T10:30:00Z,56.41
570702,24.2,12.8,1996-02-08T11:30:00Z,48.96
570703,26,8,1996-02-08T12:30:00Z,31.93
570705,29.4,9.9,1996-02-08T14:30:00Z,29.76
570706,30,7,1996-02-08T15:30:00Z,23.62
570707,30,9,1996-02-08T16:30:00Z,27.06
570708,29.8,10.1,1996-02-08T17:30:00Z,29.47
570711,24.8,10.9,1996-02-08T20:30:00Z,41.67
570713,23,10,1996-02-08T22:30:00Z,43.73
570714,21.2,9.7,1996-02-08T23:30:00Z,47.83
570715,21,7,1996-02-09T00:30:00Z,40.32
570716,20,7,1996-02-09T01:30:00Z,42.88
570717,19,11.8,1996-02-09T02:30:00Z,63.01
570718,18,10,1996-02-09T03:30:00Z,59.52
570720,16.6,13,1996-02-09T05:30:00Z,79.3
570721,15,12,1996-02-09T06:30:00Z,82.26
570722,15,13,1996-02-09T07:30:00Z,87.84
570723,17.2,14,1996-02-09T08:30:00Z,81.47
570725,21,14,1996-02-09T10:30:00Z,64.29
570726,25.4,13.1,1996-02-09T11:30:00Z,46.47
570727,27,8,1996-02-09T12:30:00Z,30.1
570728,29,2,1996-02-09T13:30:00Z,17.64
570729,29.8,5.5,1996-02-09T14:30:00Z,21.55
570730,30,0,1996-02-09T15:30:00Z,14.42
570731,30,-1,1996-02-09T16:30:00Z,13.41
570732,29.8,3.4,1996-02-09T17:30:00Z,18.6
570733,28,-3,1996-02-09T18:30:00Z,12.99
570734,26,0,1996-02-09T19:30:00Z,18.21
570735,23.4,7.9,1996-02-09T20:30:00Z,37.04
570736,22,6,1996-02-09T21:30:00Z,35.4
570737,19,6,1996-02-09T22:30:00Z,42.6
570738,18.4,8.8,1996-02-09T23:30:00Z,53.55
570739,19,8,1996-02-10T00:30:00Z,48.86
570740,17,8,1996-02-10T01:30:00Z,55.4
570741,16.8,9.6,1996-02-10T02:30:00Z,62.51
570743,14,7,1996-02-10T04:30:00Z,62.72
570744,13,8.2,1996-02-10T05:30:00Z,72.64
570745,13,6,1996-02-10T06:30:00Z,62.48
570746,12,6,1996-02-10T07:30:00Z,66.72
570747,15.2,8.5,1996-02-10T08:30:00Z,64.29
570749,22,6,1996-02-10T10:30:00Z,35.4
570750,25,9.3,1996-02-10T11:30:00Z,37
570751,26,6,1996-02-10T12:30:00Z,27.84
570753,27.4,3.4,1996-02-10T14:30:00Z,21.38
570754,28,0,1996-02-10T15:30:00Z,16.19
570755,27,-2,1996-02-10T16:30:00Z,14.83
570756,26.6,4.6,1996-02-10T17:30:00Z,24.38
570757,26,-1,1996-02-10T18:30:00Z,16.93
570758,23,5,1996-02-10T19:30:00Z,31.08
570759,20,8.6,1996-02-10T20:30:00Z,47.82
570761,20,4,1996-02-10T22:30:00Z,34.83
570762,19.4,8.7,1996-02-10T23:30:00Z,49.97
570765,17,8.9,1996-02-11T02:30:00Z,58.88
570767,10,6,1996-02-11T04:30:00Z,76.19
570768,14.4,8.5,1996-02-11T05:30:00Z,67.69
570770,13,7,1996-02-11T07:30:00Z,66.93
570771,15,9.2,1996-02-11T08:30:00Z,68.27
570772,18,6,1996-02-11T09:30:00Z,45.35
570773,22,8,1996-02-11T10:30:00Z,40.6
570774,24.2,11.5,1996-02-11T11:30:00Z,44.94
570775,25,6,1996-02-11T12:30:00Z,29.55
570776,26,4,1996-02-11T13:30:00Z,24.22
570777,26,4,1996-02-11T14:30:00Z,24.22
570778,27,4,1996-02-11T15:30:00Z,22.84
570779,27,4,1996-02-11T16:30:00Z,22.84
570780,26.8,7.3,1996-02-11T17:30:00Z,29.04
570781,26,2,1996-02-11T18:30:00Z,21.03
570782,24,4,1996-02-11T19:30:00Z,27.29
570783,22.2,9.7,1996-02-11T20:30:00Z,44.99
570786,18.8,10.3,1996-02-11T23:30:00Z,57.76
570787,18,8,1996-02-12T00:30:00Z,52.01
570788,16,9,1996-02-12T01:30:00Z,63.17
570789,16,10.8,1996-02-12T02:30:00Z,71.27
570792,17,10.2,1996-02-12T05:30:00Z,64.25
570794,16,9,1996-02-12T07:30:00Z,63.17
570795,17.8,10.8,1996-02-12T08:30:00Z,63.58
570796,19,9,1996-02-12T09:30:00Z,52.28
570797,21,9,1996-02-12T10:30:00Z,46.19
570798,24.4,11.7,1996-02-12T11:30:00Z,45
570801,28,11.3,1996-02-12T14:30:00Z,35.43
570802,28,8,1996-02-12T15:30:00Z,28.39
570803,29,8,1996-02-12T16:30:00Z,26.79
570804,28,9.8,1996-02-12T17:30:00Z,32.06
570807,23,9.3,1996-02-12T20:30:00Z,41.72
570810,19.4,9.7,1996-02-12T23:30:00Z,53.45
570811,18,8,1996-02-13T00:30:00Z,52.01
570812,17,8,1996-02-13T01:30:00Z,55.4
570813,16.4,10,1996-02-13T02:30:00Z,65.86
570815,15,8,1996-02-13T04:30:00Z,62.95
570816,14.4,9.8,1996-02-13T05:30:00Z,73.88
570817,13,8,1996-02-13T06:30:00Z,71.66
570819,16.6,9.3,1996-02-13T08:30:00Z,62.05
570820,20,6,1996-02-13T09:30:00Z,40.03
570821,22,6,1996-02-13T10:30:00Z,35.4
570822,26,10.3,1996-02-13T11:30:00Z,37.28
570823,26,8,1996-02-13T12:30:00Z,31.93
570824,28,8,1996-02-13T13:30:00Z,28.39
570825,29.2,6.6,1996-02-13T14:30:00Z,24.06
570826,29,4,1996-02-13T15:30:00Z,20.32
570827,29,4,1996-02-13T16:30:00Z,20.32
570828,29.4,7.8,1996-02-13T17:30:00Z,25.82
570829,28,4,1996-02-13T18:30:00Z,21.54
570830,26,7,1996-02-13T19:30:00Z,29.82
570831,23,8,1996-02-13T20:30:00Z,38.21
570832,22,8,1996-02-13T21:30:00Z,40.6
570833,19,9,1996-02-13T22:30:00Z,52.28
570834,17.6,9.2,1996-02-13T23:30:00Z,57.85
570835,17,9,1996-02-14T00:30:00Z,59.28
570836,16,9,1996-02-14T01:30:00Z,63.17
570837,16,9,1996-02-14T02:30:00Z,63.17
570839,15,7,1996-02-14T04:30:00Z,58.79
570840,14,9.3,1996-02-14T05:30:00Z,73.32
570841,13,8,1996-02-14T06:30:00Z,71.66
570842,13,8,1996-02-14T07:30:00Z,71.66
570843,15.8,9.2,1996-02-14T08:30:00Z,64.85
570844,18,9,1996-02-14T09:30:00Z,55.66
570845,22,6,1996-02-14T10:30:00Z,35.4
570846,26,7.1,1996-02-14T11:30:00Z,30.03
570848,28,7,1996-02-14T13:30:00Z,26.52
